id,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W2938349850,Jake M. Ferguson|John Fieberg|Michael A. McCartney|Naomi S. Blinick|Leslie Schroeder,https://openalex.org/A5053208913|https://openalex.org/A5030821429|https://openalex.org/A5070651765|https://openalex.org/A5078878541|https://openalex.org/A5042215581,https://orcid.org/0000-0002-5034-9089|https://orcid.org/0000-0002-3180-7021|https://orcid.org/0000-0003-2550-3803|https://orcid.org/0000-0003-0111-2891|,||||,,,True|False|False|False|False,,0,,Data and R code to support: Estimating densities of zebra mussels (Dreissena polymorpha) in early invasions using distance sampling,https://doi.org/10.13020/d6hc-bw36,,,False,en,True,green,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Aquatic Invertebrate Ecology and Behavior,2017-07-01,2017,dataset
https://openalex.org/W2939473523,Ying-Zi Xiong|Qiaoyue Chen|Gordon E. Legge,https://openalex.org/A5101470707|https://openalex.org/A5021583520|https://openalex.org/A5062775143,https://orcid.org/0000-0001-7839-0019||https://orcid.org/0000-0002-3742-1680,||,,,True|False|False,public-domain,0,,Letter Transposition Project [GELLAB 2018],https://doi.org/10.13020/d6v70k,,,False,en,True,green,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Reading and Literacy Development,2017-10-25,2017,dataset
https://openalex.org/W2940668150,Andrew Kotz|William F. Northrop,https://openalex.org/A5009697150|https://openalex.org/A5034090257,https://orcid.org/0000-0002-0865-7416|https://orcid.org/0000-0001-7189-2075,|,,,True|False,public-domain,0,,"Metro Transit Diesel Bus Engine Measurement Data for 19 Days in Winter 2014 in Minneapolis-St. Paul, MN, USA",https://doi.org/10.13020/tfje-5p82,,,False,en,True,green,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Vehicle emissions and performance,2014-01-16,2014,dataset
https://openalex.org/W2940836087,Nicholas Lewellyn|A. M. Goldman,https://openalex.org/A5063227179|https://openalex.org/A5082359008,|https://orcid.org/0000-0001-9312-099X,|,,,True|False,public-domain,0,,"Resistance versus temperature of an Indium Oxide thin film sample ""b15c12"" at various applied perpendicular magnetic field values",https://doi.org/10.13020/sf5h-xh91,,,False,en,True,green,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Magnetic Field Sensors Techniques,2018-03-14,2018,dataset
https://openalex.org/W2940997194,Hannah Walter,https://openalex.org/A5101872702,https://orcid.org/0000-0001-5724-3298,,,,True,public-domain,0,,RV Atlantis 2017 Ship Data,https://doi.org/10.13020/1s80-qg61,,,False,en,True,green,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Risk and Safety Analysis,2017-06-01,2017,dataset
https://openalex.org/W2943083214,Erik Werner|Guo Kang Cheong|Damini Gupta|Kevin D. Dorfman|B. Mehlig,https://openalex.org/A5001254323|https://openalex.org/A5073437453|https://openalex.org/A5112468919|https://openalex.org/A5080268173|https://openalex.org/A5074141887,https://orcid.org/0000-0002-6377-9897|||https://orcid.org/0000-0003-0065-5157|https://orcid.org/0000-0002-3672-6538,||||,,,True|False|False|False|False,,0,,Data from: One-parameter scaling theory for DNA extension in a nanochannel,,,,False,en,False,closed,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Nanopore and Nanochannel Transport Studies,2017-01-01,2017,dataset
https://openalex.org/W2943306019,Ilana Percher|A. M. Goldman,https://openalex.org/A5009182809|https://openalex.org/A5082359008,|https://orcid.org/0000-0001-9312-099X,|,,,True|False,public-domain,0,,"Resistance vs Temperature of an Indium Oxide thin film sample ""6.7E-5"" at a range of magnetic fields",https://doi.org/10.13020/cbew-4g28,,,False,en,True,green,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Magnetic Field Sensors Techniques,2019-01-09,2019,dataset
https://openalex.org/W2943712520,Abhiram Muralidhar|Michael J. Quevillon|Kevin D. Dorfman,https://openalex.org/A5088536040|https://openalex.org/A5004042587|https://openalex.org/A5080268173,https://orcid.org/0000-0002-2563-3272|https://orcid.org/0000-0003-0614-2301|https://orcid.org/0000-0003-0065-5157,||,,,True|False|False,,0,,Data from: The backfolded Odijk regime for wormlike chains confined in rectangular nanochannels,,,,False,en,False,closed,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Nanopore and Nanochannel Transport Studies,2016-01-01,2016,dataset
https://openalex.org/W2943931885,Michael Hancher|Donald T Luce|Colin McFadden|Samantha T Porter,https://openalex.org/A5112674334|https://openalex.org/A5026805558|https://openalex.org/A5069193393|https://openalex.org/A5103847968,|||,|||,,,True|False|False|False,cc-by-nd,0,,Two and Three Dimensional Representations of Thomas Bewick Woodblocks,https://doi.org/10.13020/hw8q-c585,,,False,en,True,green,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Urban Planning and Landscape Design,2019-01-01,2019,dataset
https://openalex.org/W2944115541,Wes F Reinhart|Douglas R. Tree|Kevin D. Dorfman,https://openalex.org/A5040465068|https://openalex.org/A5025202702|https://openalex.org/A5080268173,|https://orcid.org/0000-0002-1412-0244|https://orcid.org/0000-0003-0065-5157,||,,,True|False|False,,0,,Data from: Entropic Depletion of DNA in Triangular Nanochannels,,,,False,en,False,closed,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Nanopore and Nanochannel Transport Studies,2013-08-12,2013,dataset
https://openalex.org/W2944630065,Jeffrey G. Reifenberger|Han Cao|Kevin D. Dorfman,https://openalex.org/A5060489308|https://openalex.org/A5040704785|https://openalex.org/A5080268173,|https://orcid.org/0000-0003-3612-6169|https://orcid.org/0000-0003-0065-5157,||,,,True|False|False,,0,,Data from: Odijk excluded volume interactions during the unfolding of DNA confined in a nanochannel,,,,False,en,False,closed,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Nanopore and Nanochannel Transport Studies,2018-01-01,2018,dataset
https://openalex.org/W2945207755,Guo Kang Cheong|Xiaolan Li|Kevin D. Dorfman,https://openalex.org/A5073437453|https://openalex.org/A5101992958|https://openalex.org/A5080268173,|https://orcid.org/0000-0003-3656-2569|https://orcid.org/0000-0003-0065-5157,||,,,True|False|False,,0,,Data from: Wall depletion length of a channel-confined polymer,,,,False,en,False,closed,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Polymer crystallization and properties,2017-01-01,2017,dataset
https://openalex.org/W2945506567,Xiaolan Li|Kevin D. Dorfman,https://openalex.org/A5101992956|https://openalex.org/A5080268173,https://orcid.org/0000-0002-2312-823X|https://orcid.org/0000-0003-0065-5157,|,,,True|False,,0,,Data from: Effect of excluded volume on the force-extension of wormlike chains in slit confinement,,,,False,en,False,closed,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Force Microscopy Techniques and Applications,2016-01-01,2016,dataset
