,id,doi,type,funding_type,title,publication_year,publication_date,language,authorships-author-author_id,authorships-author-display_name,author_position,orcid,apc_list,apc_paid,fwci,has_fulltext,cited_by_count,citation_normalized_percentile-value,is_in_top_1_percent,is_in_top_10_percent,volume,issue,first_page,last_page,topic_id,topic_name,subfield_id,subfield_name,field_id,field_name,domain_id,domain_name,retracted,index location,primary_location-source-display_name,is_oa,oa_status,license,institution_id,institution_name,raw_affiliation_strings,country_code,ror,lineage
966,https://openalex.org/W2912826304,https://doi.org/10.13020/nss2-h623,dataset,,Data from manuscript “Low levels of SIV-specific CD8+ T cells in germinal centers characterizes acute SIV infection”,2016,2016-08-23,en,https://openalex.org/A5047276561,Pamela J. Skinner,first,https://orcid.org/0000-0003-3388-1687,,,,False,0,,,,,,,,https://openalex.org/T11560,Animal Disease Management and Epidemiology,https://openalex.org/subfields/1102,Agronomy and Crop Science,https://openalex.org/fields/11,Agricultural and Biological Sciences,https://openalex.org/domains/1,Life Sciences,False,datacite,University of Minnesota Digital Conservancy (University of Minnesota),True,green,public-domain,,,,,,
967,https://openalex.org/W2912951644,,dataset,,Data from: Measurements of DNA barcode label separations in nanochannels from time-series data,2015,2015-01-01,en,https://openalex.org/A5019785858,Julian Sheats,first,https://orcid.org/0000-0002-0293-702X,,,,False,0,,,,,,,,https://openalex.org/T11582,Nanopore and Nanochannel Transport Studies,https://openalex.org/subfields/2204,Biomedical Engineering,https://openalex.org/fields/22,Engineering,https://openalex.org/domains/3,Physical Sciences,False,,University of Minnesota Digital Conservancy (University of Minnesota),False,closed,,,,,,,
968,https://openalex.org/W2912951644,,dataset,,Data from: Measurements of DNA barcode label separations in nanochannels from time-series data,2015,2015-01-01,en,https://openalex.org/A5022127643,Jeff G. Reifenberger,middle,,,,,False,0,,,,,,,,https://openalex.org/T11582,Nanopore and Nanochannel Transport Studies,https://openalex.org/subfields/2204,Biomedical Engineering,https://openalex.org/fields/22,Engineering,https://openalex.org/domains/3,Physical Sciences,False,,University of Minnesota Digital Conservancy (University of Minnesota),False,closed,,,,,,,
969,https://openalex.org/W2912951644,,dataset,,Data from: Measurements of DNA barcode label separations in nanochannels from time-series data,2015,2015-01-01,en,https://openalex.org/A5101675726,Han Cao,middle,https://orcid.org/0000-0001-6456-8234,,,,False,0,,,,,,,,https://openalex.org/T11582,Nanopore and Nanochannel Transport Studies,https://openalex.org/subfields/2204,Biomedical Engineering,https://openalex.org/fields/22,Engineering,https://openalex.org/domains/3,Physical Sciences,False,,University of Minnesota Digital Conservancy (University of Minnesota),False,closed,,,,,,,
970,https://openalex.org/W2912951644,,dataset,,Data from: Measurements of DNA barcode label separations in nanochannels from time-series data,2015,2015-01-01,en,https://openalex.org/A5080268173,Kevin D. Dorfman,last,https://orcid.org/0000-0003-0065-5157,,,,False,0,,,,,,,,https://openalex.org/T11582,Nanopore and Nanochannel Transport Studies,https://openalex.org/subfields/2204,Biomedical Engineering,https://openalex.org/fields/22,Engineering,https://openalex.org/domains/3,Physical Sciences,False,,University of Minnesota Digital Conservancy (University of Minnesota),False,closed,,,,,,,
971,https://openalex.org/W2913186687,,dataset,,Data from: Dynamics of Polymer Adsorption from Dilute Solution in Shear Flow near a Planar Wall,2014,2014-02-26,en,https://openalex.org/A5031191009,Sarit Dutta,first,https://orcid.org/0000-0002-6197-7881,,,,False,0,,,,,,,,https://openalex.org/T11379,Rheology and Fluid Dynamics Studies,https://openalex.org/subfields/1507,Fluid Flow and Transfer Processes,https://openalex.org/fields/15,Chemical Engineering,https://openalex.org/domains/3,Physical Sciences,False,,University of Minnesota Digital Conservancy (University of Minnesota),False,closed,,,,,,,
972,https://openalex.org/W2913186687,,dataset,,Data from: Dynamics of Polymer Adsorption from Dilute Solution in Shear Flow near a Planar Wall,2014,2014-02-26,en,https://openalex.org/A5080268173,Kevin D. Dorfman,middle,https://orcid.org/0000-0003-0065-5157,,,,False,0,,,,,,,,https://openalex.org/T11379,Rheology and Fluid Dynamics Studies,https://openalex.org/subfields/1507,Fluid Flow and Transfer Processes,https://openalex.org/fields/15,Chemical Engineering,https://openalex.org/domains/3,Physical Sciences,False,,University of Minnesota Digital Conservancy (University of Minnesota),False,closed,,,,,,,
973,https://openalex.org/W2913186687,,dataset,,Data from: Dynamics of Polymer Adsorption from Dilute Solution in Shear Flow near a Planar Wall,2014,2014-02-26,en,https://openalex.org/A5019349227,Satish Kumar,last,https://orcid.org/0000-0003-0829-6355,,,,False,0,,,,,,,,https://openalex.org/T11379,Rheology and Fluid Dynamics Studies,https://openalex.org/subfields/1507,Fluid Flow and Transfer Processes,https://openalex.org/fields/15,Chemical Engineering,https://openalex.org/domains/3,Physical Sciences,False,,University of Minnesota Digital Conservancy (University of Minnesota),False,closed,,,,,,,
974,https://openalex.org/W2913259021,,dataset,,Data from: The Role of Order during Ogston Sieving of DNA in Colloidal Crystals,2013,2013-08-20,en,https://openalex.org/A5111786326,Scott B. King,first,,,,,False,0,,,,,,,,https://openalex.org/T11877,Iron oxide chemistry and applications,https://openalex.org/subfields/2105,"Renewable Energy, Sustainability and the Environment",https://openalex.org/fields/21,Energy,https://openalex.org/domains/3,Physical Sciences,False,,University of Minnesota Digital Conservancy (University of Minnesota),False,closed,,,,,,,
975,https://openalex.org/W2913259021,,dataset,,Data from: The Role of Order during Ogston Sieving of DNA in Colloidal Crystals,2013,2013-08-20,en,https://openalex.org/A5080268173,Kevin D. Dorfman,last,https://orcid.org/0000-0003-0065-5157,,,,False,0,,,,,,,,https://openalex.org/T11877,Iron oxide chemistry and applications,https://openalex.org/subfields/2105,"Renewable Energy, Sustainability and the Environment",https://openalex.org/fields/21,Energy,https://openalex.org/domains/3,Physical Sciences,False,,University of Minnesota Digital Conservancy (University of Minnesota),False,closed,,,,,,,
976,https://openalex.org/W2913273770,https://doi.org/10.13020/d64m64,dataset,,Sampling of St. Louis Estuary and Lake Superior surface water after the Superior Refinery Fire in 2018,2018,2018-01-01,en,https://openalex.org/A5009457955,Elizabeth C. Minor,first,https://orcid.org/0000-0001-6930-9338,,,,False,0,,,,,,,,https://openalex.org/T12316,Oil Spill Detection and Mitigation,https://openalex.org/subfields/2310,Pollution,https://openalex.org/fields/23,Environmental Science,https://openalex.org/domains/3,Physical Sciences,False,datacite,University of Minnesota Digital Conservancy (University of Minnesota),True,green,public-domain,,,,,,
977,https://openalex.org/W2913472031,,dataset,,Data from: Distribution of label spacings for genome mapping in nanochannels,2018,2018-01-01,en,https://openalex.org/A5060822559,Daniel Ödman,first,,,,,False,0,,,,,,,,https://openalex.org/T11582,Nanopore and Nanochannel Transport Studies,https://openalex.org/subfields/2204,Biomedical Engineering,https://openalex.org/fields/22,Engineering,https://openalex.org/domains/3,Physical Sciences,False,,University of Minnesota Digital Conservancy (University of Minnesota),False,closed,,,,,,,
978,https://openalex.org/W2913472031,,dataset,,Data from: Distribution of label spacings for genome mapping in nanochannels,2018,2018-01-01,en,https://openalex.org/A5001254323,Erik Werner,middle,https://orcid.org/0000-0002-6377-9897,,,,False,0,,,,,,,,https://openalex.org/T11582,Nanopore and Nanochannel Transport Studies,https://openalex.org/subfields/2204,Biomedical Engineering,https://openalex.org/fields/22,Engineering,https://openalex.org/domains/3,Physical Sciences,False,,University of Minnesota Digital Conservancy (University of Minnesota),False,closed,,,,,,,
979,https://openalex.org/W2913472031,,dataset,,Data from: Distribution of label spacings for genome mapping in nanochannels,2018,2018-01-01,en,https://openalex.org/A5080268173,Kevin D. Dorfman,middle,https://orcid.org/0000-0003-0065-5157,,,,False,0,,,,,,,,https://openalex.org/T11582,Nanopore and Nanochannel Transport Studies,https://openalex.org/subfields/2204,Biomedical Engineering,https://openalex.org/fields/22,Engineering,https://openalex.org/domains/3,Physical Sciences,False,,University of Minnesota Digital Conservancy (University of Minnesota),False,closed,,,,,,,
980,https://openalex.org/W2913472031,,dataset,,Data from: Distribution of label spacings for genome mapping in nanochannels,2018,2018-01-01,en,https://openalex.org/A5029384700,Charles M Doering,middle,,,,,False,0,,,,,,,,https://openalex.org/T11582,Nanopore and Nanochannel Transport Studies,https://openalex.org/subfields/2204,Biomedical Engineering,https://openalex.org/fields/22,Engineering,https://openalex.org/domains/3,Physical Sciences,False,,University of Minnesota Digital Conservancy (University of Minnesota),False,closed,,,,,,,
981,https://openalex.org/W2913472031,,dataset,,Data from: Distribution of label spacings for genome mapping in nanochannels,2018,2018-01-01,en,https://openalex.org/A5074141887,B. Mehlig,last,https://orcid.org/0000-0002-3672-6538,,,,False,0,,,,,,,,https://openalex.org/T11582,Nanopore and Nanochannel Transport Studies,https://openalex.org/subfields/2204,Biomedical Engineering,https://openalex.org/fields/22,Engineering,https://openalex.org/domains/3,Physical Sciences,False,,University of Minnesota Digital Conservancy (University of Minnesota),False,closed,,,,,,,
